"文件编号","清单文件名称","选用来源","文件名","原路径","扩展名","被Gold替代的源文件数","原路径长度","目标路径","执行结果"
"S0023-9013","持续葡萄糖监测系统接收端软件需求规范","Gold Standard","CGM-1-CE-A-CH9.2.1-S0023-9013 Software Requirements Specification for Continuous Glucose Monitoring System Receiver.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 9 Software and Cyperscurity\9.2 Software verification and validation0507\9.2.1 Software requirements\CGM-1-CE-A-CH9.2.1-S0023-9013 Software Requirements Specification for Continuous Glucose Monitoring System Receiver.docx",".docx","0","309","C:\Users\hejc\Desktop\DHF\CGM-1-CE-A-CH9.2.1-S0023-9013 Software Requirements Specification for Continuous Glucose Monitoring System Receiver.docx","预览"
"S0023-9013","持续葡萄糖监测系统接收端软件需求规范","Gold Standard","CGM-1-CE-A-CH9.2.1-S0023-9013 Software Requirements Specification for Continuous Glucose Monitoring System Receiver.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 9 Software and Cyperscurity\9.2 Software verification and validation0507\9.2.1 Software requirements\CGM-1-CE-A-CH9.2.1-S0023-9013 Software Requirements Specification for Continuous Glucose Monitoring System Receiver.pdf",".pdf","0","308","C:\Users\hejc\Desktop\DHF\CGM-1-CE-A-CH9.2.1-S0023-9013 Software Requirements Specification for Continuous Glucose Monitoring System Receiver.pdf","预览"
"S0023-9017","持续葡萄糖监测系统产品架构设计","项目管理文件","S0023-9017 Product Architecture Design For CGMs产品架构设计适用于持续葡萄糖监测系统.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\DHF\S0023-9017 Product Architecture Design For CGMs产品架构设计适用于持续葡萄糖监测系统.docx",".docx","0","139","C:\Users\hejc\Desktop\DHF\S0023-9017 Product Architecture Design For CGMs产品架构设计适用于持续葡萄糖监测系统.docx","预览"
"S0023-9018","持续葡萄糖监测系统发射器架构和软件详细设计","Gold Standard","CGM-1-CE-A-CH9.2.2-S0023-9018  Transmitter Software Architecture and Detailed Design of the CGM-MS1 Continuous Glucose Monitoring System.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 9 Software and Cyperscurity\9.2 Software verification and validation0507\9.2.2 Software architecture document\CGM-1-CE-A-CH9.2.2-S0023-9018  Transmitter Software Architecture and Detailed Design of the CGM-MS1 Continuous Glucose Monitoring System.docx",".docx","0","339","C:\Users\hejc\Desktop\DHF\CGM-1-CE-A-CH9.2.2-S0023-9018  Transmitter Software Architecture and Detailed Design of the CGM-MS1 Continuous Glucose Monitoring System.docx","预览"
"S0023-9018","持续葡萄糖监测系统发射器架构和软件详细设计","Gold Standard","CGM-1-CE-A-CH9.2.2-S0023-9018  Transmitter Software Architecture and Detailed Design of the CGM-MS1 Continuous Glucose Monitoring System.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 9 Software and Cyperscurity\9.2 Software verification and validation0507\9.2.2 Software architecture document\CGM-1-CE-A-CH9.2.2-S0023-9018  Transmitter Software Architecture and Detailed Design of the CGM-MS1 Continuous Glucose Monitoring System.pdf",".pdf","0","338","C:\Users\hejc\Desktop\DHF\CGM-1-CE-A-CH9.2.2-S0023-9018  Transmitter Software Architecture and Detailed Design of the CGM-MS1 Continuous Glucose Monitoring System.pdf","预览"
"S0023-9021","持续葡萄糖监测系统接收端手机应用软件架构设计和详细设计","Gold Standard","CGM-1-CE-A-CH9.2.2-S0023-9021 App.DOC","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 9 Software and Cyperscurity\9.2 Software verification and validation0507\9.2.2 Software architecture document\CGM-1-CE-A-CH9.2.2-S0023-9021 App.DOC",".DOC","0","235","C:\Users\hejc\Desktop\DHF\CGM-1-CE-A-CH9.2.2-S0023-9021 App.DOC","预览"
"S0023-9021","持续葡萄糖监测系统接收端手机应用软件架构设计和详细设计","Gold Standard","CGM-1-CE-A-CH9.2.2-S0023-9021 App.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 9 Software and Cyperscurity\9.2 Software verification and validation0507\9.2.2 Software architecture document\CGM-1-CE-A-CH9.2.2-S0023-9021 App.pdf",".pdf","0","235","C:\Users\hejc\Desktop\DHF\CGM-1-CE-A-CH9.2.2-S0023-9021 App.pdf","预览"
"S0023-9023","接收端软件需求规范","项目管理文件","S0023-9023 Software Requirements Specification for Continuous Glucose Monitoring System Receiver End.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\DHF\S0023-9023 Software Requirements Specification for Continuous Glucose Monitoring System Receiver End.docx",".docx","0","174","C:\Users\hejc\Desktop\DHF\S0023-9023 Software Requirements Specification for Continuous Glucose Monitoring System Receiver End.docx","预览"
"S0023-9030","持续葡萄糖监测系统产品生物学评价计划","项目管理文件","S0023-9030 Continuous glucose monitoring systems (CGMs) biological evaluation program.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\DHF\S0023-9030 Continuous glucose monitoring systems (CGMs) biological evaluation program.docx",".docx","0","159","C:\Users\hejc\Desktop\DHF\S0023-9030 Continuous glucose monitoring systems (CGMs) biological evaluation program.docx","预览"
"S0023-9032","持续葡萄糖监测系统设计故障模式与效应分析报告（DFMEA)","项目管理文件","S0023-9032 Design Failure Mode and Effects Analysis (DFMEA)  For CGMs  设计故障模式与影响分析适用于持续葡萄糖监测系统.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\DHF\S0023-9032 Design Failure Mode and Effects Analysis (DFMEA)  For CGMs  设计故障模式与影响分析适用于持续葡萄糖监测系统.docx",".docx","0","168","C:\Users\hejc\Desktop\DHF\S0023-9032 Design Failure Mode and Effects Analysis (DFMEA)  For CGMs  设计故障模式与影响分析适用于持续葡萄糖监测系统.docx","预览"
"S0023-9033","持续葡萄糖监测系统使用故障模式与效应分析报告（UseFMEA）","项目管理文件","S0023-9033 Use-Failure Mode and Effects Analysis (Use-FMEA) For CGMs.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\DHF\S0023-9033 Use-Failure Mode and Effects Analysis (Use-FMEA) For CGMs.docx",".docx","0","142","C:\Users\hejc\Desktop\DHF\S0023-9033 Use-Failure Mode and Effects Analysis (Use-FMEA) For CGMs.docx","预览"
"S0023-9036","持续葡萄糖监测系统使用说明书","项目管理文件","S0023-9036 持续葡萄糖监测系统说明书 IFU- Continuous Glucose Monitoring System.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\DHF\S0023-9036 持续葡萄糖监测系统说明书 IFU- Continuous Glucose Monitoring System.docx",".docx","0","139","C:\Users\hejc\Desktop\DHF\S0023-9036 持续葡萄糖监测系统说明书 IFU- Continuous Glucose Monitoring System.docx","预览"
"S0023-9042","持续葡萄糖监测系统发射器软件需求规范","Gold Standard","CGM-1-CE-A-CH9.2.1-S0023-9042 Continuous Glucose Monitoring System Transmitter Software Requirements Specification.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 9 Software and Cyperscurity\9.2 Software verification and validation0507\9.2.1 Software requirements\CGM-1-CE-A-CH9.2.1-S0023-9042 Continuous Glucose Monitoring System Transmitter Software Requirements Specification.docx",".docx","1","308","C:\Users\hejc\Desktop\DHF\CGM-1-CE-A-CH9.2.1-S0023-9042 Continuous Glucose Monitoring System Transmitter Software Requirements Specification.docx","预览"
"S0023-9042","持续葡萄糖监测系统发射器软件需求规范","Gold Standard","CGM-1-CE-A-CH9.2.1-S0023-9042 Continuous Glucose Monitoring System Transmitter Software Requirements Specification.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 9 Software and Cyperscurity\9.2 Software verification and validation0507\9.2.1 Software requirements\CGM-1-CE-A-CH9.2.1-S0023-9042 Continuous Glucose Monitoring System Transmitter Software Requirements Specification.pdf",".pdf","0","307","C:\Users\hejc\Desktop\DHF\CGM-1-CE-A-CH9.2.1-S0023-9042 Continuous Glucose Monitoring System Transmitter Software Requirements Specification.pdf","预览"
"S0023-9043","持续葡萄糖监测系统（CGMs）T3技术评审报告","项目管理文件","S0023-9043 附件A：持续葡萄糖监测系统（CGMs）技术评审检查表（T3） .docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\DHF\S0023-9043 附件A：持续葡萄糖监测系统（CGMs）技术评审检查表（T3） .docx",".docx","0","116","C:\Users\hejc\Desktop\DHF\S0023-9043 附件A：持续葡萄糖监测系统（CGMs）技术评审检查表（T3） .docx","预览"
"S0023-9043","持续葡萄糖监测系统（CGMs）T3技术评审报告","项目管理文件","S0023-9043_持续葡萄糖监测系统（CGMs）T3技术评审报告.doc","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\DHF\S0023-9043_持续葡萄糖监测系统（CGMs）T3技术评审报告.doc",".doc","0","107","C:\Users\hejc\Desktop\DHF\S0023-9043_持续葡萄糖监测系统（CGMs）T3技术评审报告.doc","预览"
"S0023-9045","MS1持续葡萄糖监测系统详细设计","项目管理文件","S0023-9045 Continuous glucose monitoring system CGM-MS1 Detailed Design.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\DHF\S0023-9045 Continuous glucose monitoring system CGM-MS1 Detailed Design.docx",".docx","0","145","C:\Users\hejc\Desktop\DHF\S0023-9045 Continuous glucose monitoring system CGM-MS1 Detailed Design.docx","预览"
"S0023-9052A","组装物料清洗过程确认方案","Gold Standard","S0023-9052A Assembly Material Cleaning Process Validation Plan for MS1356.doc","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9052A Assembly Material Cleaning Process Validation Plan for MS1356.doc",".doc","0","244","C:\Users\hejc\Desktop\DHF\S0023-9052A Assembly Material Cleaning Process Validation Plan for MS1356.doc","预览"
"S0023-9052A","组装物料清洗过程确认方案","Gold Standard","S0023-9052A Assembly Material Cleaning Process Validation Plan for MS1356.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9052A Assembly Material Cleaning Process Validation Plan for MS1356.pdf",".pdf","0","244","C:\Users\hejc\Desktop\DHF\S0023-9052A Assembly Material Cleaning Process Validation Plan for MS1356.pdf","预览"
"S0023-9052B","组装物料清洗过程确认报告","Gold Standard","S0023-9052B Assembly Material Cleaning Process Validation Report for MS1356.doc","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9052B Assembly Material Cleaning Process Validation Report for MS1356.doc",".doc","0","246","C:\Users\hejc\Desktop\DHF\S0023-9052B Assembly Material Cleaning Process Validation Report for MS1356.doc","预览"
"S0023-9052B","组装物料清洗过程确认报告","Gold Standard","S0023-9052B Assembly Material Cleaning Process Validation Report for MS1356.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9052B Assembly Material Cleaning Process Validation Report for MS1356.pdf",".pdf","0","246","C:\Users\hejc\Desktop\DHF\S0023-9052B Assembly Material Cleaning Process Validation Report for MS1356.pdf","预览"
"S0023-9053A","前道组装工艺过程确认方案","Gold Standard","S0023-9053A CGM-MS3 Front-end Assembly Process Validation Protocol .doc","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9053A CGM-MS3 Front-end Assembly Process Validation Protocol .doc",".doc","0","238","C:\Users\hejc\Desktop\DHF\S0023-9053A CGM-MS3 Front-end Assembly Process Validation Protocol .doc","预览"
"S0023-9053A","前道组装工艺过程确认方案","Gold Standard","S0023-9053A CGM-MS3 Front-end Assembly Process Validation Protocol .pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9053A CGM-MS3 Front-end Assembly Process Validation Protocol .pdf",".pdf","0","238","C:\Users\hejc\Desktop\DHF\S0023-9053A CGM-MS3 Front-end Assembly Process Validation Protocol .pdf","预览"
"S0023-9053B","前道组装工艺过程确认报告","Gold Standard","S0023-9053B CGM-MS3 Front-end Assembly Process Validation Report.doc","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9053B CGM-MS3 Front-end Assembly Process Validation Report.doc",".doc","0","235","C:\Users\hejc\Desktop\DHF\S0023-9053B CGM-MS3 Front-end Assembly Process Validation Report.doc","预览"
"S0023-9053B","前道组装工艺过程确认报告","Gold Standard","S0023-9053B CGM-MS3 Front-end Assembly Process Validation Report.pdf","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-MDR注册\Technical Documentation-final\Chapter 3 Design and manufacturing information\3.3 Process validation and verification\S0023-9053B CGM-MS3 Front-end Assembly Process Validation Report.pdf",".pdf","0","235","C:\Users\hejc\Desktop\DHF\S0023-9053B CGM-MS3 Front-end Assembly Process Validation Report.pdf","预览"
"S0023-9068A","CGM-MS3发射器软件单元测试方案","项目管理文件","S0023-9068A CGM-MS3持续葡萄糖监测系统发射器软件系统软件单元测试方案[CGM-MS3 Continuous Glucose Monitoring  System Software unit test plan].docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\LJ\S0023-9068A CGM-MS3持续葡萄糖监测系统发射器软件系统软件单元测试方案[CGM-MS3 Continuous Glucose Monitoring  System Software unit test plan].docx",".docx","0","187","C:\Users\hejc\Desktop\DHF\S0023-9068A CGM-MS3持续葡萄糖监测系统发射器软件系统软件单元测试方案[CGM-MS3 Continuous Glucose Monitoring  System Software unit test plan].docx","预览"
"S0023-9068B","CGM-MS3发射器软件单元测试报告","项目管理文件","S0023-9068B CGM-MS3持续葡萄糖监测系统发射器软件系统软件单元测试报告[CGM-MS3 Continuous Glucose Monitoring  System Software unit test report].docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\LJ\S0023-9068B CGM-MS3持续葡萄糖监测系统发射器软件系统软件单元测试报告[CGM-MS3 Continuous Glucose Monitoring  System Software unit test report].docx",".docx","0","189","C:\Users\hejc\Desktop\DHF\S0023-9068B CGM-MS3持续葡萄糖监测系统发射器软件系统软件单元测试报告[CGM-MS3 Continuous Glucose Monitoring  System Software unit test report].docx","预览"
"S0023-9069A","CGM-MS3发射器软件系统测试方案","项目管理文件","S0023-9069A CGM-MS3持续葡萄糖监测系统发射器软件系统测试方案[CGM-MS3 Continuous Glucose Monitoring System Transmitter Software System Test Plan].doc","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\LJ\S0023-9069A CGM-MS3持续葡萄糖监测系统发射器软件系统测试方案[CGM-MS3 Continuous Glucose Monitoring System Transmitter Software System Test Plan].doc",".doc","0","195","C:\Users\hejc\Desktop\DHF\S0023-9069A CGM-MS3持续葡萄糖监测系统发射器软件系统测试方案[CGM-MS3 Continuous Glucose Monitoring System Transmitter Software System Test Plan].doc","预览"
"S0023-9069B","CGM-MS3发射器软件系统测试报告","项目管理文件","S0023-9069B CGM-MS3 持续葡萄糖监测系统发射器软件系统测试报告[CGM-MS3 Continuous Glucose Monitoring System Transmitter Software System Test Report].docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\LJ\S0023-9069B CGM-MS3 持续葡萄糖监测系统发射器软件系统测试报告[CGM-MS3 Continuous Glucose Monitoring System Transmitter Software System Test Report].docx",".docx","0","199","C:\Users\hejc\Desktop\DHF\S0023-9069B CGM-MS3 持续葡萄糖监测系统发射器软件系统测试报告[CGM-MS3 Continuous Glucose Monitoring System Transmitter Software System Test Report].docx","预览"
"S0023-9070A","CGM-MS5发射器软件单元测试方案","项目管理文件","S0023-9070A CGM-MS5持续葡萄糖监测系统软件单元测试方案[CGM-MS5 Continuous Glucose Monitoring System Software unit testing plan].docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\LJ\S0023-9070A CGM-MS5持续葡萄糖监测系统软件单元测试方案[CGM-MS5 Continuous Glucose Monitoring System Software unit testing plan].docx",".docx","0","182","C:\Users\hejc\Desktop\DHF\S0023-9070A CGM-MS5持续葡萄糖监测系统软件单元测试方案[CGM-MS5 Continuous Glucose Monitoring System Software unit testing plan].docx","预览"
"S0023-9070B","CGM-MS5发射器软件单元测试报告","项目管理文件","S0023-9070B CGM-MS5持续葡萄糖监测系统软件单元测试报告[CGM-MS5 Continuous Grape Monitoring System Software Unit Test Report].docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\LJ\S0023-9070B CGM-MS5持续葡萄糖监测系统软件单元测试报告[CGM-MS5 Continuous Grape Monitoring System Software Unit Test Report].docx",".docx","0","179","C:\Users\hejc\Desktop\DHF\S0023-9070B CGM-MS5持续葡萄糖监测系统软件单元测试报告[CGM-MS5 Continuous Grape Monitoring System Software Unit Test Report].docx","预览"
"S0023-9071A","CGM-MS5发射器软件系统测试方案","项目管理文件","S0023-9071A CGM-MS5持续葡萄糖监测系统发射器软件系统测试方案[CGM-MS5 Continuous Glucose Monitoring System Transmitter Software System Test Plan].doc","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\LJ\S0023-9071A CGM-MS5持续葡萄糖监测系统发射器软件系统测试方案[CGM-MS5 Continuous Glucose Monitoring System Transmitter Software System Test Plan].doc",".doc","0","195","C:\Users\hejc\Desktop\DHF\S0023-9071A CGM-MS5持续葡萄糖监测系统发射器软件系统测试方案[CGM-MS5 Continuous Glucose Monitoring System Transmitter Software System Test Plan].doc","预览"
"S0023-9071B","CGM-MS5发射器软件系统测试报告","项目管理文件","S0023-9071B CGM-MS5持续葡萄糖监测系统发射器软件系统测试报告[CGM-MS5 Continuous Glucose Monitoring System Transmitter Software System Test Report].docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\LJ\S0023-9071B CGM-MS5持续葡萄糖监测系统发射器软件系统测试报告[CGM-MS5 Continuous Glucose Monitoring System Transmitter Software System Test Report].docx",".docx","0","198","C:\Users\hejc\Desktop\DHF\S0023-9071B CGM-MS5持续葡萄糖监测系统发射器软件系统测试报告[CGM-MS5 Continuous Glucose Monitoring System Transmitter Software System Test Report].docx","预览"
"S0023-9072A","CGM-MS1发射器软件单元测试方案","项目管理文件","S0023-9072A CGM-MS1持续葡萄糖监测系统发射器软件单元测试方案[CGM-MS1 Continuous Glucose Monitoring System Transmitter Software unit testing solution].docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\LJ\S0023-9072A CGM-MS1持续葡萄糖监测系统发射器软件单元测试方案[CGM-MS1 Continuous Glucose Monitoring System Transmitter Software unit testing solution].docx",".docx","0","201","C:\Users\hejc\Desktop\DHF\S0023-9072A CGM-MS1持续葡萄糖监测系统发射器软件单元测试方案[CGM-MS1 Continuous Glucose Monitoring System Transmitter Software unit testing solution].docx","预览"
"S0023-9072B","CGM-MS1发射器软件单元测试报告","项目管理文件","S0023-9072B CGM-MS1 持续葡萄糖监测系统发射器软件单元测试报告[CGM-MS1 Continuous Glucose Monitoring System Transmitter Software Unit Test Report].docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\LJ\S0023-9072B CGM-MS1 持续葡萄糖监测系统发射器软件单元测试报告[CGM-MS1 Continuous Glucose Monitoring System Transmitter Software Unit Test Report].docx",".docx","0","197","C:\Users\hejc\Desktop\DHF\S0023-9072B CGM-MS1 持续葡萄糖监测系统发射器软件单元测试报告[CGM-MS1 Continuous Glucose Monitoring System Transmitter Software Unit Test Report].docx","预览"
"S0023-9073A","CGM-MS1发射器软件系统测试方案","项目管理文件","S0023-9073A CGM-MS1持续葡萄糖监测系统发射器软件系统测试方案[CGM-MS1 Continuous Glucose Monitoring System Transmitter Software System Test Plan].doc","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\LJ\S0023-9073A CGM-MS1持续葡萄糖监测系统发射器软件系统测试方案[CGM-MS1 Continuous Glucose Monitoring System Transmitter Software System Test Plan].doc",".doc","0","195","C:\Users\hejc\Desktop\DHF\S0023-9073A CGM-MS1持续葡萄糖监测系统发射器软件系统测试方案[CGM-MS1 Continuous Glucose Monitoring System Transmitter Software System Test Plan].doc","预览"
